DateKey;Pełna_data;Nr_dnia;Dzień_Tyg;Dzień_miesiąca;Miesiąc_skr;Miesiąc;CalendarQuarter;rok
20200103;2020-01-03;6;Friday;3;Jan;January;1;2020
20200110;2020-01-10;6;Friday;10;Jan;January;1;2020
20200117;2020-01-17;6;Friday;17;Jan;January;1;2020
20200124;2020-01-24;6;Friday;24;Jan;January;1;2020
20200131;2020-01-31;6;Friday;31;Jan;January;1;2020
20200207;2020-02-07;6;Friday;7;Feb;February;1;2020
20200214;2020-02-14;6;Friday;14;Feb;February;1;2020
20200221;2020-02-21;6;Friday;21;Feb;February;1;2020
20200228;2020-02-28;6;Friday;28;Feb;February;1;2020
20200306;2020-03-06;6;Friday;6;Mar;March;1;2020
20200313;2020-03-13;6;Friday;13;Mar;March;1;2020
20200320;2020-03-20;6;Friday;20;Mar;March;1;2020
20200327;2020-03-27;6;Friday;27;Mar;March;1;2020
20200403;2020-04-03;6;Friday;3;Apr;April;2;2020
20200410;2020-04-10;6;Friday;10;Apr;April;2;2020
20200417;2020-04-17;6;Friday;17;Apr;April;2;2020
20200424;2020-04-24;6;Friday;24;Apr;April;2;2020
20200501;2020-05-01;6;Friday;1;May;May;2;2020
20200508;2020-05-08;6;Friday;8;May;May;2;2020
20200515;2020-05-15;6;Friday;15;May;May;2;2020
20200522;2020-05-22;6;Friday;22;May;May;2;2020
20200529;2020-05-29;6;Friday;29;May;May;2;2020
20200605;2020-06-05;6;Friday;5;Jun;June;2;2020
20200612;2020-06-12;6;Friday;12;Jun;June;2;2020
20200619;2020-06-19;6;Friday;19;Jun;June;2;2020
20200626;2020-06-26;6;Friday;26;Jun;June;2;2020
20200703;2020-07-03;6;Friday;3;Jul;July;3;2020
20200710;2020-07-10;6;Friday;10;Jul;July;3;2020
20200717;2020-07-17;6;Friday;17;Jul;July;3;2020
20200724;2020-07-24;6;Friday;24;Jul;July;3;2020
20200731;2020-07-31;6;Friday;31;Jul;July;3;2020
20200807;2020-08-07;6;Friday;7;Aug;August;3;2020
20200814;2020-08-14;6;Friday;14;Aug;August;3;2020
20200821;2020-08-21;6;Friday;21;Aug;August;3;2020
20200828;2020-08-28;6;Friday;28;Aug;August;3;2020
20200904;2020-09-04;6;Friday;4;Sep;September;3;2020
20200911;2020-09-11;6;Friday;11;Sep;September;3;2020
20200918;2020-09-18;6;Friday;18;Sep;September;3;2020
20200925;2020-09-25;6;Friday;25;Sep;September;3;2020
20201002;2020-10-02;6;Friday;2;Oct;October;4;2020
20201009;2020-10-09;6;Friday;9;Oct;October;4;2020
20201016;2020-10-16;6;Friday;16;Oct;October;4;2020
20201023;2020-10-23;6;Friday;23;Oct;October;4;2020
20201030;2020-10-30;6;Friday;30;Oct;October;4;2020
20201106;2020-11-06;6;Friday;6;Nov;November;4;2020
20201113;2020-11-13;6;Friday;13;Nov;November;4;2020
20201120;2020-11-20;6;Friday;20;Nov;November;4;2020
20201127;2020-11-27;6;Friday;27;Nov;November;4;2020
20201204;2020-12-04;6;Friday;4;Dec;December;4;2020
20201211;2020-12-11;6;Friday;11;Dec;December;4;2020
20201218;2020-12-18;6;Friday;18;Dec;December;4;2020
20201225;2020-12-25;6;Friday;25;Dec;December;4;2020
20210101;2021-01-01;6;Friday;1;Jan;January;1;2021
20210108;2021-01-08;6;Friday;8;Jan;January;1;2021
20210115;2021-01-15;6;Friday;15;Jan;January;1;2021
20210122;2021-01-22;6;Friday;22;Jan;January;1;2021
20210129;2021-01-29;6;Friday;29;Jan;January;1;2021
20210205;2021-02-05;6;Friday;5;Feb;February;1;2021
20210212;2021-02-12;6;Friday;12;Feb;February;1;2021
20210219;2021-02-19;6;Friday;19;Feb;February;1;2021
20210226;2021-02-26;6;Friday;26;Feb;February;1;2021
20210305;2021-03-05;6;Friday;5;Mar;March;1;2021
20210312;2021-03-12;6;Friday;12;Mar;March;1;2021
20210319;2021-03-19;6;Friday;19;Mar;March;1;2021
20210326;2021-03-26;6;Friday;26;Mar;March;1;2021
20210402;2021-04-02;6;Friday;2;Apr;April;2;2021
20210409;2021-04-09;6;Friday;9;Apr;April;2;2021
20210416;2021-04-16;6;Friday;16;Apr;April;2;2021
20210423;2021-04-23;6;Friday;23;Apr;April;2;2021
20210430;2021-04-30;6;Friday;30;Apr;April;2;2021
20210507;2021-05-07;6;Friday;7;May;May;2;2021
20210514;2021-05-14;6;Friday;14;May;May;2;2021
20210521;2021-05-21;6;Friday;21;May;May;2;2021
20210528;2021-05-28;6;Friday;28;May;May;2;2021
20210604;2021-06-04;6;Friday;4;Jun;June;2;2021
20210611;2021-06-11;6;Friday;11;Jun;June;2;2021
20210618;2021-06-18;6;Friday;18;Jun;June;2;2021
20210625;2021-06-25;6;Friday;25;Jun;June;2;2021
20210702;2021-07-02;6;Friday;2;Jul;July;3;2021
20210709;2021-07-09;6;Friday;9;Jul;July;3;2021
20210716;2021-07-16;6;Friday;16;Jul;July;3;2021
20210723;2021-07-23;6;Friday;23;Jul;July;3;2021
20210730;2021-07-30;6;Friday;30;Jul;July;3;2021
20210806;2021-08-06;6;Friday;6;Aug;August;3;2021
20210813;2021-08-13;6;Friday;13;Aug;August;3;2021
20210820;2021-08-20;6;Friday;20;Aug;August;3;2021
20210827;2021-08-27;6;Friday;27;Aug;August;3;2021
20210903;2021-09-03;6;Friday;3;Sep;September;3;2021
20210910;2021-09-10;6;Friday;10;Sep;September;3;2021
20210917;2021-09-17;6;Friday;17;Sep;September;3;2021
20210924;2021-09-24;6;Friday;24;Sep;September;3;2021
20211001;2021-10-01;6;Friday;1;Oct;October;4;2021
20211008;2021-10-08;6;Friday;8;Oct;October;4;2021
20211015;2021-10-15;6;Friday;15;Oct;October;4;2021
20211022;2021-10-22;6;Friday;22;Oct;October;4;2021
20211029;2021-10-29;6;Friday;29;Oct;October;4;2021
20211105;2021-11-05;6;Friday;5;Nov;November;4;2021
20211112;2021-11-12;6;Friday;12;Nov;November;4;2021
20211119;2021-11-19;6;Friday;19;Nov;November;4;2021
20211126;2021-11-26;6;Friday;26;Nov;November;4;2021
20211203;2021-12-03;6;Friday;3;Dec;December;4;2021
20211210;2021-12-10;6;Friday;10;Dec;December;4;2021
20211217;2021-12-17;6;Friday;17;Dec;December;4;2021
20211224;2021-12-24;6;Friday;24;Dec;December;4;2021
20211231;2021-12-31;6;Friday;31;Dec;December;4;2021
20220107;2022-01-07;6;Friday;7;Jan;January;1;2022
20220114;2022-01-14;6;Friday;14;Jan;January;1;2022
20220121;2022-01-21;6;Friday;21;Jan;January;1;2022
20220128;2022-01-28;6;Friday;28;Jan;January;1;2022
20220204;2022-02-04;6;Friday;4;Feb;February;1;2022
20220211;2022-02-11;6;Friday;11;Feb;February;1;2022
20220218;2022-02-18;6;Friday;18;Feb;February;1;2022
20220225;2022-02-25;6;Friday;25;Feb;February;1;2022
20220304;2022-03-04;6;Friday;4;Mar;March;1;2022
20220311;2022-03-11;6;Friday;11;Mar;March;1;2022
20220318;2022-03-18;6;Friday;18;Mar;March;1;2022
20220325;2022-03-25;6;Friday;25;Mar;March;1;2022
20220401;2022-04-01;6;Friday;1;Apr;April;2;2022
20220408;2022-04-08;6;Friday;8;Apr;April;2;2022
20220415;2022-04-15;6;Friday;15;Apr;April;2;2022
20220422;2022-04-22;6;Friday;22;Apr;April;2;2022
20220429;2022-04-29;6;Friday;29;Apr;April;2;2022
20220506;2022-05-06;6;Friday;6;May;May;2;2022
20220513;2022-05-13;6;Friday;13;May;May;2;2022
20220520;2022-05-20;6;Friday;20;May;May;2;2022
20220527;2022-05-27;6;Friday;27;May;May;2;2022
20220603;2022-06-03;6;Friday;3;Jun;June;2;2022
20220610;2022-06-10;6;Friday;10;Jun;June;2;2022
20220617;2022-06-17;6;Friday;17;Jun;June;2;2022
20220624;2022-06-24;6;Friday;24;Jun;June;2;2022
20220701;2022-07-01;6;Friday;1;Jul;July;3;2022
20220708;2022-07-08;6;Friday;8;Jul;July;3;2022
20220715;2022-07-15;6;Friday;15;Jul;July;3;2022
20220722;2022-07-22;6;Friday;22;Jul;July;3;2022
20220729;2022-07-29;6;Friday;29;Jul;July;3;2022
20220805;2022-08-05;6;Friday;5;Aug;August;3;2022
20220812;2022-08-12;6;Friday;12;Aug;August;3;2022
20220819;2022-08-19;6;Friday;19;Aug;August;3;2022
20220826;2022-08-26;6;Friday;26;Aug;August;3;2022
20220902;2022-09-02;6;Friday;2;Sep;September;3;2022
20220909;2022-09-09;6;Friday;9;Sep;September;3;2022
20220916;2022-09-16;6;Friday;16;Sep;September;3;2022
20220923;2022-09-23;6;Friday;23;Sep;September;3;2022
20220930;2022-09-30;6;Friday;30;Sep;September;3;2022
20221007;2022-10-07;6;Friday;7;Oct;October;4;2022
20221014;2022-10-14;6;Friday;14;Oct;October;4;2022
20221021;2022-10-21;6;Friday;21;Oct;October;4;2022
20221028;2022-10-28;6;Friday;28;Oct;October;4;2022
20221104;2022-11-04;6;Friday;4;Nov;November;4;2022
20221111;2022-11-11;6;Friday;11;Nov;November;4;2022
20221118;2022-11-18;6;Friday;18;Nov;November;4;2022
20221125;2022-11-25;6;Friday;25;Nov;November;4;2022
20221202;2022-12-02;6;Friday;2;Dec;December;4;2022
20221209;2022-12-09;6;Friday;9;Dec;December;4;2022
20221216;2022-12-16;6;Friday;16;Dec;December;4;2022
20221223;2022-12-23;6;Friday;23;Dec;December;4;2022
20221230;2022-12-30;6;Friday;30;Dec;December;4;2022
20230106;2023-01-06;6;Friday;6;Jan;January;1;2023
20230113;2023-01-13;6;Friday;13;Jan;January;1;2023
20230120;2023-01-20;6;Friday;20;Jan;January;1;2023
20230127;2023-01-27;6;Friday;27;Jan;January;1;2023
20230203;2023-02-03;6;Friday;3;Feb;February;1;2023
20230210;2023-02-10;6;Friday;10;Feb;February;1;2023
20230217;2023-02-17;6;Friday;17;Feb;February;1;2023
20230224;2023-02-24;6;Friday;24;Feb;February;1;2023
20230303;2023-03-03;6;Friday;3;Mar;March;1;2023
20230310;2023-03-10;6;Friday;10;Mar;March;1;2023
20230317;2023-03-17;6;Friday;17;Mar;March;1;2023
20230324;2023-03-24;6;Friday;24;Mar;March;1;2023
20230331;2023-03-31;6;Friday;31;Mar;March;1;2023
20230407;2023-04-07;6;Friday;7;Apr;April;2;2023
20230414;2023-04-14;6;Friday;14;Apr;April;2;2023
20230421;2023-04-21;6;Friday;21;Apr;April;2;2023
20230428;2023-04-28;6;Friday;28;Apr;April;2;2023
20230505;2023-05-05;6;Friday;5;May;May;2;2023
20230512;2023-05-12;6;Friday;12;May;May;2;2023
20230519;2023-05-19;6;Friday;19;May;May;2;2023
20230526;2023-05-26;6;Friday;26;May;May;2;2023
20230602;2023-06-02;6;Friday;2;Jun;June;2;2023
20230609;2023-06-09;6;Friday;9;Jun;June;2;2023
20230616;2023-06-16;6;Friday;16;Jun;June;2;2023
20230623;2023-06-23;6;Friday;23;Jun;June;2;2023
20230630;2023-06-30;6;Friday;30;Jun;June;2;2023
20230707;2023-07-07;6;Friday;7;Jul;July;3;2023
20230714;2023-07-14;6;Friday;14;Jul;July;3;2023
20230721;2023-07-21;6;Friday;21;Jul;July;3;2023
20230728;2023-07-28;6;Friday;28;Jul;July;3;2023
20230804;2023-08-04;6;Friday;4;Aug;August;3;2023
20230811;2023-08-11;6;Friday;11;Aug;August;3;2023
20230818;2023-08-18;6;Friday;18;Aug;August;3;2023
20230825;2023-08-25;6;Friday;25;Aug;August;3;2023
20230901;2023-09-01;6;Friday;1;Sep;September;3;2023
20230908;2023-09-08;6;Friday;8;Sep;September;3;2023
20230915;2023-09-15;6;Friday;15;Sep;September;3;2023
20230922;2023-09-22;6;Friday;22;Sep;September;3;2023
20230929;2023-09-29;6;Friday;29;Sep;September;3;2023
20231006;2023-10-06;6;Friday;6;Oct;October;4;2023
20231013;2023-10-13;6;Friday;13;Oct;October;4;2023
20231020;2023-10-20;6;Friday;20;Oct;October;4;2023
20231027;2023-10-27;6;Friday;27;Oct;October;4;2023
20231103;2023-11-03;6;Friday;3;Nov;November;4;2023
20231110;2023-11-10;6;Friday;10;Nov;November;4;2023
20231117;2023-11-17;6;Friday;17;Nov;November;4;2023
20231124;2023-11-24;6;Friday;24;Nov;November;4;2023
20231201;2023-12-01;6;Friday;1;Dec;December;4;2023
20231208;2023-12-08;6;Friday;8;Dec;December;4;2023
20231215;2023-12-15;6;Friday;15;Dec;December;4;2023
20231222;2023-12-22;6;Friday;22;Dec;December;4;2023
20231229;2023-12-29;6;Friday;29;Dec;December;4;2023
20240105;2024-01-05;6;Friday;5;Jan;January;1;2024
20240112;2024-01-12;6;Friday;12;Jan;January;1;2024
20240119;2024-01-19;6;Friday;19;Jan;January;1;2024
20240126;2024-01-26;6;Friday;26;Jan;January;1;2024
20240202;2024-02-02;6;Friday;2;Feb;February;1;2024
20240209;2024-02-09;6;Friday;9;Feb;February;1;2024
20240216;2024-02-16;6;Friday;16;Feb;February;1;2024
20240223;2024-02-23;6;Friday;23;Feb;February;1;2024
20240301;2024-03-01;6;Friday;1;Mar;March;1;2024
20240308;2024-03-08;6;Friday;8;Mar;March;1;2024
20240315;2024-03-15;6;Friday;15;Mar;March;1;2024
20240322;2024-03-22;6;Friday;22;Mar;March;1;2024
20240329;2024-03-29;6;Friday;29;Mar;March;1;2024
20240405;2024-04-05;6;Friday;5;Apr;April;2;2024
20240412;2024-04-12;6;Friday;12;Apr;April;2;2024
20240419;2024-04-19;6;Friday;19;Apr;April;2;2024
20240426;2024-04-26;6;Friday;26;Apr;April;2;2024
20240503;2024-05-03;6;Friday;3;May;May;2;2024
20240510;2024-05-10;6;Friday;10;May;May;2;2024
20240517;2024-05-17;6;Friday;17;May;May;2;2024
20240524;2024-05-24;6;Friday;24;May;May;2;2024
20240531;2024-05-31;6;Friday;31;May;May;2;2024
20240607;2024-06-07;6;Friday;7;Jun;June;2;2024
20240614;2024-06-14;6;Friday;14;Jun;June;2;2024
20240621;2024-06-21;6;Friday;21;Jun;June;2;2024
20240628;2024-06-28;6;Friday;28;Jun;June;2;2024
20240705;2024-07-05;6;Friday;5;Jul;July;3;2024
20240712;2024-07-12;6;Friday;12;Jul;July;3;2024
20240719;2024-07-19;6;Friday;19;Jul;July;3;2024
20240726;2024-07-26;6;Friday;26;Jul;July;3;2024
20240802;2024-08-02;6;Friday;2;Aug;August;3;2024
20240809;2024-08-09;6;Friday;9;Aug;August;3;2024
20240816;2024-08-16;6;Friday;16;Aug;August;3;2024
20240823;2024-08-23;6;Friday;23;Aug;August;3;2024
20240830;2024-08-30;6;Friday;30;Aug;August;3;2024
20240906;2024-09-06;6;Friday;6;Sep;September;3;2024
20240913;2024-09-13;6;Friday;13;Sep;September;3;2024
20240920;2024-09-20;6;Friday;20;Sep;September;3;2024
20240927;2024-09-27;6;Friday;27;Sep;September;3;2024
20241004;2024-10-04;6;Friday;4;Oct;October;4;2024
20241011;2024-10-11;6;Friday;11;Oct;October;4;2024
20241018;2024-10-18;6;Friday;18;Oct;October;4;2024
20241025;2024-10-25;6;Friday;25;Oct;October;4;2024
20241101;2024-11-01;6;Friday;1;Nov;November;4;2024
20241108;2024-11-08;6;Friday;8;Nov;November;4;2024
20241115;2024-11-15;6;Friday;15;Nov;November;4;2024
20241122;2024-11-22;6;Friday;22;Nov;November;4;2024
20241129;2024-11-29;6;Friday;29;Nov;November;4;2024
20241206;2024-12-06;6;Friday;6;Dec;December;4;2024
20241213;2024-12-13;6;Friday;13;Dec;December;4;2024
20241220;2024-12-20;6;Friday;20;Dec;December;4;2024
20241227;2024-12-27;6;Friday;27;Dec;December;4;2024
